job_db_inx,mod_time,account,cpus_req,id_array_task,id_job,id_user,id_group,het_job_offset,mem_req,nodelist,partition,timelimit,time_submit,time_eligible,time_start,time_end,tres_alloc,tres_req
546,1737781660,\N,16,4294967294,1126,1027,1050,4294967294,0,mothra,kaijus,4294967295,1737675908,1737675908,1737675908,1737781660,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
548,1737739292,\N,16,4294967294,1127,1027,1050,4294967294,0,"ghidorah,godzilla",kaijus,525600,1737676050,1737676050,1737676050,1737739292,"1=16,4=2,5=16","1=16,2=512000,4=2,5=16"
571,1738192796,\N,1,4294967294,1139,1027,1023,4294967294,0,mothra,kaijus,43260,1738000257,1738000257,1738000258,1738192796,"1=1,4=1,5=1","1=1,2=256000,4=1,5=1"
573,1738773398,\N,1,4294967294,1139,1027,1023,4294967294,0,godzilla,kaijus,43260,1738192796,1738192917,1738192917,1738773398,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
574,1739966416,\N,1,4294967294,1139,1027,1023,4294967294,0,godzilla,kaijus,43260,1738773398,1738773519,1738773519,1739966416,"1=1,4=1,5=1","1=1,4=1,5=1"
575,1738784340,\N,4,4294967294,1140,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1738784316,1738784316,0,1738784340,,"1=4,2=512000,4=2,5=4"
598,1738842050,\N,1,4294967294,1153,1027,1023,4294967294,0,godzilla,kaijus,43260,1738841243,1738841243,1738841244,1738842050,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
600,1738842143,\N,1,4294967294,1154,1027,1023,4294967294,0,godzilla,kaijus,43260,1738841271,1738841271,1738841271,1738842143,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
601,1738841985,\N,1,4294967294,1155,1027,1023,4294967294,0,godzilla,kaijus,43260,1738841304,1738841304,1738841304,1738841985,"1=1,3=18446744073709551614,4=1,5=1","1=1,2=256000,4=1,5=1"
603,1739208016,\N,4,4294967294,1156,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1739207931,1739207931,0,1739208016,,"1=4,2=512000,4=2,5=4"
604,1739211491,\N,16,4294967294,1157,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739208021,1739208021,1739208022,1739211491,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
606,1739211499,\N,16,4294967294,1158,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739208220,1739208220,1739211491,1739211499,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
608,1739211496,\N,16,4294967294,1160,1027,1050,4294967294,0,None assigned,kaijus,4294967294,1739208488,1739208488,0,1739211496,,"1=16,2=256000,4=1,5=16"
609,1739256645,\N,16,4294967294,1161,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739211627,1739211627,1739211628,1739256645,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
611,1739966416,\N,1,4294967294,1162,1027,1023,4294967294,0,godzilla,kaijus,43260,1739358824,1739358824,1739358824,1739966416,"1=1,4=1,5=1","1=1,2=256000,4=1,5=1"
613,1739390270,\N,16,4294967294,1163,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390246,1739390246,1739390246,1739390270,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
615,1739390324,\N,16,4294967294,1164,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390264,1739390264,1739390270,1739390324,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
616,1739390551,\N,16,4294967294,1165,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390314,1739390314,1739390324,1739390550,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
617,1739390626,\N,16,4294967294,1166,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390322,1739390322,1739390550,1739390626,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
618,1739390700,\N,16,4294967294,1167,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390327,1739390327,1739390626,1739390700,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
619,1739390794,\N,16,4294967294,1168,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390344,1739390344,1739390700,1739390794,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
620,1739390895,\N,16,4294967294,1169,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390350,1739390350,1739390794,1739390894,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
621,1739391028,\N,16,4294967294,1170,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390355,1739390355,1739390894,1739391028,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
622,1739391169,\N,16,4294967294,1171,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390360,1739390360,1739391028,1739391169,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
623,1739391330,\N,16,4294967294,1172,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739390365,1739390365,1739391169,1739391330,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
624,1739427603,\N,16,4294967294,1173,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427028,1739427028,1739427029,1739427603,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
626,1739428309,\N,16,4294967294,1174,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427035,1739427035,1739427603,1739428309,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
